episode, loss, player_score, max_score, epsilon
0, 107.1265791050412, 0, 0, 0.9989938000000331
1, 14.173478918078601, 1.0, 1.0, 0.9977572000000738
2, 98.81680026388824, 2.0, 2.0, 0.9964504000001169
3, 4.081048338505153, 0, 2.0, 0.9954847000001487
4, 14.18937143704187, 0, 2.0, 0.9944893000001814
5, 7.5331082664450175, 0, 2.0, 0.9934111000002169
6, 26.37614437851936, 0, 2.0, 0.9923374000002523
7, 19.985874392229245, 0, 2.0, 0.9911638000002909
8, 95.67453500014255, 1.0, 2.0, 0.9899866000003297
9, 3.605599029356664, 1.0, 2.0, 0.9886753000003728
10, 93.35389145564693, 0, 2.0, 0.9874774000004123
11, 1.7853228068432285, 1.0, 2.0, 0.9863749000004486
12, 2.3336987793818027, 0, 2.0, 0.9854641000004786
13, 22.337869664856495, 1.0, 2.0, 0.9840340000005257
14, 0.10445562600923104, 1.0, 2.0, 0.9828334000005652
15, 2.6844328551627084, 2.0, 2.0, 0.9816193000006052
16, 35.05922218300882, 1.0, 2.0, 0.9805501000006404
17, 27.711115918619722, 0, 2.0, 0.9792757000006823
18, 40.09533771523373, 0, 2.0, 0.978312700000714
19, 49.06119832786843, 1.0, 2.0, 0.9771760000007514
20, 16.06353448516177, 1.0, 2.0, 0.9759115000007931
21, 55.338741065115, 2.0, 2.0, 0.9745381000008383
22, 1.8501517729621548, 2.0, 2.0, 0.9733456000008776
23, 0.4757316333418469, 2.0, 2.0, 0.9721333000009175
24, 25.229120829284682, 0, 2.0, 0.9711109000009511
25, 28.061852363110464, 1.0, 2.0, 0.9699436000009896
26, 75.2669544179076, 0, 2.0, 0.9689401000010226
27, 2.958494888892265, 0, 2.0, 0.9677782000010609
28, 27.78315715076494, 2.0, 2.0, 0.9663382000011083
29, 37.76786564259348, 1.0, 2.0, 0.9651511000011473
30, 74.49938317631171, 0, 2.0, 0.9639856000011857
31, 15.121615964018261, 2.0, 2.0, 0.9628192000012241
32, 97.96056234157746, 0, 2.0, 0.9616969000012611
33, 2.352851808638873, 0, 2.0, 0.9607789000012913
34, 13.089522272903366, 0, 2.0, 0.9597340000013257
35, 156.34666824669634, 2.0, 2.0, 0.9585298000013653
36, 84.13306251862974, 0, 2.0, 0.9575488000013976
37, 30.45066396843424, 1.0, 2.0, 0.956475100001433
38, 0.13994088196748616, 0, 2.0, 0.9555184000014645
39, 175.4739578806504, 2.0, 2.0, 0.9542017000015078
40, 40.728454467826644, 3.0, 3.0, 0.9528346000015528
41, 0.9046402327023403, 0, 3.0, 0.9519157000015831
42, 24.86998728916757, 1.0, 3.0, 0.9508195000016192
43, 87.69136289007733, 2.0, 3.0, 0.9495649000016605
44, 3.784499008989978, 1.0, 3.0, 0.9484057000016987
45, 6.751702813785628, 0, 3.0, 0.9474121000017314
46, 251.6932821796717, 0, 3.0, 0.9463645000017659
47, 6.460084592065412, 1.0, 3.0, 0.9453169000018004
48, 22.010726973900255, 1.0, 3.0, 0.9443089000018335
49, 1.233737184536191, 1.0, 3.0, 0.9431641000018712
50, 0.020074477741872675, 0, 3.0, 0.9420598000019076
51, 143.9018474644715, 1.0, 3.0, 0.9409069000019455
52, 22.524381596487096, 0, 3.0, 0.939951100001977
53, 19.900783399667656, 0, 3.0, 0.939009700002008
54, 10.268937943030213, 1.0, 3.0, 0.9379351000020434
55, 86.24617911781728, 2.0, 3.0, 0.9367471000020825
56, 9.262640241475127, 0, 3.0, 0.9356824000021176
57, 0.39189019882117015, 3.0, 3.0, 0.9340867000021701
58, 35.387902639610886, 1.0, 3.0, 0.9327547000022139
59, 0.13899757719461878, 0, 3.0, 0.9318043000022452
60, 35.889600098774565, 0, 3.0, 0.9306793000022823
61, 0.03130581563397344, 2.0, 3.0, 0.9294850000023216
62, 3.9830766623113645, 0, 3.0, 0.928500400002354
63, 3.8947362878811482, 1.0, 3.0, 0.9274573000023884
64, 65.3398710861701, 0, 3.0, 0.9265024000024198
65, 129.23415053012025, 0, 3.0, 0.9253630000024573
66, 0.031466157241961154, 1.0, 3.0, 0.9242011000024956
67, 127.74054500819732, 2.0, 3.0, 0.9230581000025332
68, 118.24433839749832, 0, 3.0, 0.9221437000025633
69, 98.97075072581596, 1.0, 3.0, 0.9211339000025965
70, 333.4216754442481, 0, 3.0, 0.9200305000026329
71, 0.2878631558401651, 1.0, 3.0, 0.9189460000026686
72, 93.92321017909401, 0, 3.0, 0.9179335000027019
73, 1.4543290336368726, 0, 3.0, 0.9167788000027399
74, 4.063083389872187, 1.0, 3.0, 0.9155890000027791
75, 59.922950626746065, 0, 3.0, 0.914466700002816
76, 0.23450365867001122, 2.0, 3.0, 0.9132733000028553
77, 35.58129086021961, 2.0, 3.0, 0.9119728000028982
78, 111.66265521594039, 1.0, 3.0, 0.9109315000029324
79, 110.16655640609336, 0, 3.0, 0.9098686000029674
80, 61.55337527022278, 0, 3.0, 0.9089497000029977
81, 22.738756696386677, 0, 3.0, 0.9078634000030334
82, 51.91728819943352, 0, 3.0, 0.906906700003065
83, 5.294852564051922, 1.0, 3.0, 0.9057691000031024
84, 179.54611767191452, 1.0, 3.0, 0.9045487000031426
85, 60.20794727562481, 1.0, 3.0, 0.9034705000031781
86, 39.92937458770309, 0, 3.0, 0.9023113000032162
87, 113.92464400456886, 0, 3.0, 0.9012880000032499
88, 27.067079787418834, 0, 3.0, 0.9002989000032825
89, 3.5912292668418146, 2.0, 3.0, 0.8991460000033205
90, 55.69612629112224, 2.0, 3.0, 0.8979787000033589
91, 36.52762992926037, 0, 3.0, 0.8969086000033941
92, 10.385849299506654, 1.0, 3.0, 0.8957611000034319
93, 13.236973199800447, 3.0, 3.0, 0.8943544000034782
94, 15.98218419230755, 1.0, 3.0, 0.8932096000035159
95, 20.825678485495622, 1.0, 3.0, 0.8920990000035525
96, 0.7743110158520216, 3.0, 3.0, 0.8907193000035979
97, 11.508174235576437, 0, 3.0, 0.8896069000036345
98, 47.954201479766354, 1.0, 3.0, 0.8885827000036682
99, 28.193089225243824, 2.0, 3.0, 0.8874100000037068
100, 0.6487713574880563, 1.0, 3.0, 0.8862949000037436
101, 60.59748417861962, 3.0, 3.0, 0.8849269000037886
102, 93.677898753428, 0, 3.0, 0.8840107000038188
103, 18.231378213046447, 0, 3.0, 0.8830945000038489
104, 34.708102254194024, 2.0, 3.0, 0.881787700003892
105, 249.41319903814008, 2.0, 3.0, 0.8806537000039293
106, 120.0821777955256, 0, 3.0, 0.8796241000039632
107, 16.68644539966436, 0, 3.0, 0.8785846000039974
108, 4.801999173519116, 0, 3.0, 0.8776288000040289
109, 0.9828585489305688, 0, 3.0, 0.8765641000040639
110, 5.687261819374902, 2.0, 3.0, 0.8753149000041051
111, 7.602392782520713, 2.0, 3.0, 0.8740630000041463
112, 39.79599710715343, 0, 3.0, 0.8731567000041761
113, 15.307283529653514, 0, 3.0, 0.8721748000042084
114, 41.508085945782625, 0, 3.0, 0.8710786000042445
115, 84.42547480686842, 1.0, 3.0, 0.869970700004281
116, 51.762305094414636, 0, 3.0, 0.8689888000043133
117, 3.9249442278462667, 2.0, 3.0, 0.8677423000043544
118, 98.72512088653716, 2.0, 3.0, 0.8664418000043972
119, 31.930610713978677, 1.0, 3.0, 0.8653609000044328
120, 46.246749662483424, 0, 3.0, 0.8642764000044685
121, 55.63338272781297, 2.0, 3.0, 0.8629525000045121
122, 5.771703774411077, 0, 3.0, 0.8619238000045459
123, 1.3609691358307932, 1.0, 3.0, 0.8608708000045806
124, 12.489650137112069, 3.0, 3.0, 0.8595667000046235
125, 25.630372976851014, 0, 3.0, 0.8585443000046572
126, 26.91485297135494, 0, 3.0, 0.8575444000046901
127, 13.416717169535628, 1.0, 3.0, 0.8565238000047237
128, 127.24437986131181, 0, 3.0, 0.8553790000047614
129, 1.3514705493691566, 0, 3.0, 0.8541739000048011
130, 236.2687161790262, 2.0, 3.0, 0.8530588000048378
131, 1.2785980592465571, 0, 3.0, 0.8520076000048724
132, 110.68112729184212, 2.0, 3.0, 0.8507296000049145
133, 20.75466442561502, 1.0, 3.0, 0.8497243000049476
134, 22.034999273610115, 0, 3.0, 0.8487118000049809
135, 81.02252145236635, 2.0, 3.0, 0.8474923000050211
136, 30.749890500031196, 2.0, 3.0, 0.8463574000050584
137, 74.1401867791116, 1.0, 3.0, 0.8452108000050962
138, 6.830816669941145, 1.0, 3.0, 0.843971500005137
139, 51.61995833413622, 0, 3.0, 0.8428591000051736
140, 11.85385921713587, 0, 3.0, 0.8419447000052037
141, 2.179055509337399, 2.0, 3.0, 0.8405569000052494
142, 82.22513663576044, 1.0, 3.0, 0.8394589000052856
143, 0.05919982333106521, 2.0, 3.0, 0.8380459000053321
144, 24.500280358573452, 0, 3.0, 0.8371288000053623
145, 100.90568588527118, 2.0, 3.0, 0.8358796000054034
146, 5.797518850398367, 1.0, 3.0, 0.8347771000054397
147, 0.03487853057810347, 1.0, 3.0, 0.8336305000054774
148, 23.9512256368115, 0, 3.0, 0.8325298000055137
149, 3.9714729427923614, 1.0, 3.0, 0.8315074000055473
150, 31.9554654563695, 2.0, 3.0, 0.8302006000055904
151, 11.218561441306628, 1.0, 3.0, 0.8289595000056312
152, 0.1381433973576847, 0, 3.0, 0.8280100000056625
153, 0.4542963409453844, 4.0, 4.0, 0.8266789000057063
