episode, loss, player_score, max_score, epsilon
0, 6.976412573249801, 0, 0, 0.9990496000000313
1, 105.40162759202778, 1.0, 1.0, 0.9979066000000689
2, 10.28683663665251, 0, 1.0, 0.9969211000001014
3, 40.21597908452295, 0, 1.0, 0.9960013000001317
4, 124.54254879916618, 2.0, 2.0, 0.9947692000001722
5, 17.302128417475938, 2.0, 2.0, 0.9933211000002199
6, 62.900347591168455, 0, 2.0, 0.9922339000002557
7, 28.115583005580035, 0, 2.0, 0.9911755000002905
8, 4.542987542583561, 1.0, 2.0, 0.9900901000003263
9, 21.91582221832072, 2.0, 2.0, 0.9889723000003631
10, 0.171977986450624, 0, 2.0, 0.9880291000003941
11, 52.37251994381661, 1.0, 2.0, 0.9868528000004329
12, 69.34754566519359, 0, 2.0, 0.9857872000004679
13, 14.637790880223584, 1.0, 2.0, 0.9844327000005125
14, 21.882904789908252, 1.0, 2.0, 0.983234800000552
15, 62.02443782703174, 0, 2.0, 0.9822808000005834
16, 0.6603035429367438, 0, 2.0, 0.9810811000006229
17, 7.141442230833016, 1.0, 2.0, 0.9798409000006637
18, 5.537731338390262, 0, 2.0, 0.9787546000006995
19, 42.06424836611465, 1.0, 2.0, 0.9777214000007335
20, 1.6813653930855725, 0, 2.0, 0.976734100000766
21, 31.76653796388883, 0, 2.0, 0.9757576000007981
22, 5.140194818156291, 0, 2.0, 0.9748396000008284
23, 1.8981255553264664, 2.0, 2.0, 0.973515700000872
24, 60.64843616779047, 0, 2.0, 0.9725914000009024
25, 109.60114047999261, 1.0, 2.0, 0.9714025000009415
26, 4.150332849897376, 0, 2.0, 0.9703990000009746
27, 143.89847470922612, 1.0, 2.0, 0.9693856000010079
28, 21.820978854859376, 0, 2.0, 0.9681832000010475
29, 57.448369451612585, 0, 2.0, 0.9671212000010825
30, 44.056937832122564, 2.0, 2.0, 0.9658522000011243
31, 133.09135831370972, 0, 2.0, 0.9647245000011614
32, 97.14974831701134, 0, 2.0, 0.9638128000011914
33, 35.015638663089874, 2.0, 2.0, 0.9625447000012332
34, 61.91677114368028, 0, 2.0, 0.9615232000012668
35, 171.34360657975515, 1.0, 2.0, 0.9602614000013083
36, 81.66240705018387, 2.0, 2.0, 0.9591319000013455
37, 60.903848366640155, 1.0, 2.0, 0.9578881000013865
38, 0.08380222435122052, 2.0, 2.0, 0.9566407000014275
39, 36.64630550231141, 0, 2.0, 0.9557317000014575
40, 156.6841569692128, 0, 2.0, 0.9545545000014962
41, 12.37856725360574, 0, 2.0, 0.9536077000015274
42, 135.80298924662213, 0, 2.0, 0.9526105000015602
43, 1.1667378616120796, 0, 2.0, 0.9515044000015966
44, 0.17037659822101922, 2.0, 2.0, 0.9504091000016327
45, 235.54438430548333, 0, 2.0, 0.9492004000016725
46, 0.03078463458024465, 0, 2.0, 0.9481438000017073
47, 20.513042476559132, 0, 2.0, 0.9471646000017395
48, 1.1778525964758575, 2.0, 2.0, 0.9459262000017803
49, 61.049643762424914, 3.0, 3.0, 0.9443584000018319
50, 354.8236882950911, 1.0, 3.0, 0.9430372000018754
51, 58.4768537247826, 0, 3.0, 0.9419005000019128
52, 42.215183424831494, 0, 3.0, 0.9409771000019432
53, 15.137505712159893, 0, 3.0, 0.9400582000019735
54, 41.50891144932906, 0, 3.0, 0.9391528000020033
55, 97.15426015178345, 1.0, 3.0, 0.9380044000020411
56, 90.50029239057234, 0, 3.0, 0.9369388000020762
57, 26.669834304436527, 1.0, 3.0, 0.9356599000021183
58, 21.06441245422676, 0, 3.0, 0.934636600002152
59, 1.1463338474291662, 0, 3.0, 0.9335872000021865
60, 0.9489138141539666, 1.0, 3.0, 0.9324991000022224
61, 35.409803787413104, 0, 3.0, 0.9313696000022595
62, 80.90736211483349, 0, 3.0, 0.9301897000022984
63, 45.87392646125345, 0, 3.0, 0.9291880000023314
64, 2.4610845381320106, 0, 3.0, 0.9281611000023652
65, 0.15465277110435968, 2.0, 3.0, 0.9268525000024083
